location,region,country
Frankfurt,Hessen,Germany
Berlin,Berlin,Germany
Munich,Bayern,Germany
Aurich,Niedersachsen,Germany
Dusseldorf,Nordrhein-Westfalen,Germany
Düsseldorf,Nordrhein-Westfalen,Germany
Bonn,Nordrhein-Westfalen,Germany
Stuttgart,Baden-Württemberg,Germany
Hamburg,Hamburg,Germany
München,Bayern,Germany
Köln,Nordrhein-Westfalen,Germany
Potsdam,Brandenburg,Germany
Leipzig,Sachsen,Germany
Dresden,Sachsen,Germany
Karlsruhe,Baden-Württemberg,Germany
Hannover,Niedersachsen,Germany
Nürnberg,Bayern,Germany
Freiburg,Baden-Württemberg,Germany
Essen,Nordrhein-Westfalen,Germany
Mannheim,Baden-Württemberg,Germany
Ludwigshafen Am Rhein,Rheinland-Pfalz,Germany
Bremen,Bremen,Germany
Friedrichshafen,Baden-Württemberg,Germany
Erlangen,Bayern,Germany
Wolfsburg,Niedersachsen,Germany
Aachen,Nordrhein-Westfalen,Germany
Teterow,Mecklenburg-Vorpommern,Germany
Penzberg,Bayern,Germany
Dortmund,Nordrhein-Westfalen,Germany
Bad Homburg Vor Der Höhe,Hessen,Germany
Wiesbaden,Hessen,Germany
Rostock,Mecklenburg-Vorpommern,Germany
Teltow,Brandenburg,Germany
Biberach An Der Riß,Baden-Württemberg,Germany
Ingolstadt,Bayern,Germany
Saarbrücken,Saarland,Germany
Böblingen,Baden-Württemberg,Germany
Münster,Nordrhein-Westfalen,Germany
Raunheim,Hessen,Germany
Schönefeld,Brandenburg,Germany
Ismaning,Bayern,Germany
Münchberg,Bayern,Germany
Magdeburg,Sachsen-Anhalt,Germany
Immenstadt Im Allgäu,Bayern,Germany
Eschborn,Hessen,Germany
Landshut,Bayern,Germany
Einbeck,Niedersachsen,Germany
Herzogenaurach,Bayern,Germany
Stade,Niedersachsen,Germany
Heidelberg,Baden-Württemberg,Germany
Lörrach,Baden-Württemberg,Germany
Pforzheim,Baden-Württemberg,Germany
Ludwigsburg,Baden-Württemberg,Germany
Ulm,Baden-Württemberg,Germany
Konstanz,Baden-Württemberg,Germany
Baden-Württemberg,Baden-Württemberg,Germany
Bühl,Baden-Württemberg,Germany
Inning Am Ammersee,Bayern,Germany
Wangen Im Allgäu,Baden-Württemberg,Germany
Heidenheim An Der Brenz,Baden-Württemberg,Germany
Trostberg An Der Alz,Bayern,Germany
Kaiserslautern,Rheinland-Pfalz,Germany
Wörth Am Rhein,Rheinland-Pfalz,Germany
Waldbronn,Baden-Württemberg,Germany
Limburg An Der Lahn,Hessen,Germany
Göttingen,Niedersachsen,Germany
Bochum,Nordrhein-Westfalen,Germany
Wuppertal,Nordrhein-Westfalen,Germany
Paderborn,Nordrhein-Westfalen,Germany
Meerbusch,Nordrhein-Westfalen,Germany
Leverkusen,Nordrhein-Westfalen,Germany
Nordrhein-Westfalen,Nordrhein-Westfalen,Germany
Hürth,Nordrhein-Westfalen,Germany
Maulburg,Baden-Württemberg,Germany
Türkheim,Bayern,Germany
Bayreuth,Bayern,Germany
Aschheim,Bayern,Germany
Badenweiler,Baden-Württemberg,Germany
Abstatt,Baden-Württemberg,Germany
Calbe,Sachsen-Anhalt,Germany
Coswig,Sachsen,Germany
Halle (Saale),Sachsen-Anhalt,Germany
Jena,Thüringen,Germany
Salzgitter,Niedersachsen,Germany
Bielefeld,Nordrhein-Westfalen,Germany
Brandenburg,Brandenburg,Germany
Schleswig-Holstein,Schleswig-Holstein,Germany
Kiel,Schleswig-Holstein,Germany
Deutschland,,Germany
Hennigsdorf,Brandenburg,Germany
Gernsbach,Baden-Württemberg,Germany
Ingelheim Am Rhein,Rheinland-Pfalz,Germany
Oldenburg,Niedersachsen,Germany
Gießen,Hessen,Germany
Meuspath,Rheinland-Pfalz,Germany
Scheßlitz,Bayern,Germany
Tübingen,Baden-Württemberg,Germany
Walldorf,Baden-Württemberg,Germany
Stolberg,,Germany
Reutlingen,Baden-Württemberg,Germany
Leonberg,Baden-Württemberg,Germany
Oberkochen,Baden-Württemberg,Germany
Bayern,Bayern,Germany
Kusterdingen,Baden-Württemberg,Germany
Monheim,Nordrhein-Westfalen,Germany
Regensburg,Bayern,Germany
Dreilinden,Brandenburg,Germany
Darmstadt,Hessen,Germany
Kronberg,Bayern,Germany
Perl,Saarland,Germany
Würzburg,Bayern,Germany
Ratingen,Nordrhein-Westfalen,Germany
Heilbronn,Baden-Württemberg,Germany
Weiterstadt,Hessen,Germany
Bremerhaven,Bremen,Germany
Herford,Nordrhein-Westfalen,Germany
Gerlingen,Baden-Württemberg,Germany
Bad Neustadt An Der Saale,Bayern,Germany
Donauwörth,Bayern,Germany
Lingen,Niedersachsen,Germany
Neuss,Nordrhein-Westfalen,Germany
Norderstedt,Schleswig-Holstein,Germany
Baden-Baden,Baden-Württemberg,Germany
Westfalen,Nordrhein-Westfalen,Germany
Braunschweig,Niedersachsen,Germany
Zirndorf,Bayern,Germany
Ettlingen,Baden-Württemberg,Germany
Kassel,Hessen,Germany
Ravensburg,Baden-Württemberg,Germany
Sindelfingen,Baden-Württemberg,Germany
Koblenz,Rheinland-Pfalz,Germany
Barsinghausen,Niedersachsen,Germany
Mülheim An Der Ruhr,Nordrhein-Westfalen,Germany
Jülich,Nordrhein-Westfalen,Germany
Kempten (Allgäu),Bayern,Germany
Regierungsbezirk Düsseldorf,Nordrhein-Westfalen,Germany
Langen,Hessen,Germany
